file,caption,md5,referenced in
FOXP3_eF570/Tonsil_FOXP3_eF570_Thermo_41-4777-82_Picture1.jpg,"Human tonsil FFPE : FOXP3 (yellow, catalog number 41-4777-82) and Hoechst (blue, catalog number 40046)",c91766db036c2a1140f1c4ba2f24d057,['FOXP3_eF570/0000-0003-4379-8967.md']
Glutamine_synthetase_CoraLite_Plus_AF488/Glutamine_Synthetase_CoraLitePlusAF488_CL488-66323.jpg,"Human retina: Glutamine synthetase (green, catalog number CL488-66323) and Hoechst (blue, catalog number 40046)",a922ecc833cbd4a12084ce0ff99922b3,['Glutamine_synthetase_CoraLite_Plus_AF488/0000-0003-2088-8310.md']
BCL6_AF647/BCL6_AF647_BD_561525_BCL2_AF647_BioLegend_658705.jpg,"Human lymph node: BCL6 (red, catalog number 561525) and BCL2 (cyan, catalog number 658705)",3aa6026b5d1b714ee00b573c82efb6f1,['BCL6_AF647/0000-0003-4379-8967.md']
Alpha_smooth_muscle_actin_eF570/Spleen_aSMA_eF570_Thermo_41-9760-82_CD138_PE_BioLegend_356504.jpeg,"Human spleen: CD138 (red, catalog number 356504) and aSMA (cyan, catalog number 41-9760-82)",64dcfe39e41d7be54574cd4caa64d28d,"['Alpha_smooth_muscle_actin_eF570/0000-0003-4379-8967.md', 'CD138_PE/0000-0003-4379-8967.md']"
CD11c_AF647/Mouse_Spleen_CD11c_CD68.jpg,"Mouse spleen: CD11c (cyan, catalog number 117312) and CD68 (red, catalog number 137017)",1d96126d76fea190afaa1cb78ae4dd83,"['CD11c_AF647/0000-0003-4379-8967.md', 'CD68_BV421/0000-0003-4379-8967.md']"
CD11c_AF647/Mouse_Spleen_Hochest_Blue_CD11c_Magenta_Biolegend_117314.jpg,Mouse Spleen Hochest (Blue) CD11c (Magenta Biolegend #117314),f6c33b594e2ba81f643870e87cae326a,['CD11c_AF647/0000-0002-6944-6997.md']
CD11c_AF647/Mouse_Lymph_Node_CD11c_CD64.jpg,"Mouse lymph node: CD11c (red, catalog number 117312) and CD64 (cyan, catalog number 139322)",ec10a698e23eb8ed30560fcd0ca76bc2,"['CD11c_AF647/0000-0003-4379-8967.md', 'CD64_AF647/0000-0003-4379-8967.md']"
IgD_AF488/IgD_AF488_LN_BioLegend_348216.jpg,"Human lymph node: IgD (magenta, catalog number 348216) ",1aae3ee296aaac231000bafab8378b4e,['IgD_AF488/0000-0003-4379-8967.md']
IgD_AF488/Human_LN_IgD_PD-1.jpg,"Human lymph node: IgD (blue, catalog number 348216) and PD-1 (green, catalog number 329906)",4e081aaf0198afc5333fa3779ed96e43,"['IgD_AF488/0000-0003-4379-8967.md', 'PD-1_PE/0000-0003-4379-8967.md']"
Cytokeratin_14_Unconjugated/Human_Skin_Keratin14_CD44.jpg,"Human skin: Keratin 14 (yellow, catalog number 906004 and A-32932) and CD44 (purple, catalog number 103016)",864a9bf615c9dbd51bc5cedd4ebed3a2,"['Cytokeratin_14_Unconjugated/0000-0002-5187-810X.md', 'CD44_AF488/0000-0003-4379-8967.md']"
Phospho-Akt_Unconjugated/FL_FFPE_Phospho-Akt_CST_4060T.jpg,"Human follicular lymphoma FFPE: Phospho-Akt (red, catalog number 4060T)",9068d49769a6f5932a756131987f444e,['Phospho-Akt_Unconjugated/0000-0003-4379-8967.md']
Lumican_Unconjugated/Lumican_AF2846_DaGAF680_FL_FFPE_pH6and9.jpg,"Human follicular lymphoma FFPE : Lumican (cyan, catalog number AF2846 and A-21084)",0be4ca51220e633db643fbfe585aba9d,['Lumican_Unconjugated/0000-0003-4379-8967.md']
EpCAM_AF594/Mouse_Gut_EpCAM_CD8_CD31.jpg,"Mouse gut: EpCAM (magenta, catalog number 118222), CD8 (blue, catalog number 100738), and CD31 (green, catalog number 102516)",aa42649f93c69c744ea4340718867bdd,"['EpCAM_AF594/0000-0003-4379-8967.md', 'CD8_BV421/0000-0003-4379-8967.md']"
EpCAM_AF594/Mouse_Gut_EpCAM_IgD_CD11c.jpg,"Mouse gut: EpCAM (blue, catalog number 118222), IgD (red, catalog number 405730), and CD11c (cyan, catalog number 117312)",a4b438f55f3ce2919c4db2c3cdf2343d,"['EpCAM_AF594/0000-0003-4379-8967.md', 'IgD_AF700/0000-0003-4379-8967.md']"
EpCAM_AF594/Mouse_Gut_EpCAM_CD117_B220.jpg,"Mouse gut: EpCAM (cyan, catalog number 118222), B220 (purple, catalog number 103248), and CD117 (yellow, catalog number 105827)",610656b1dee0186ada96fda2e26137c3,"['EpCAM_AF594/0000-0003-4379-8967.md', 'CD117_BV421/0000-0003-4379-8967.md']"
EpCAM_AF594/Mouse_Gut_EpCAM_CD31_MHCII.jpg,"Mouse gut: EpCAM (blue, catalog number 118222), CD31 (magenta, catalog number 102516), and MHCII (green, catalog number 107622)",9ffb156dbce806d27c416e311ee2561f,"['EpCAM_AF594/0000-0003-4379-8967.md', 'CD31_AF647/0000-0003-4379-8967.md']"
Collagen_IV_Unconjugated/CollagenIV_LN_Abcam_Ab6586.jpg,"Human lymph node: Hoechst (blue, catalog number 40046) and Collagen IV (red, catalog number ab6586)",7bfef6b97f20d189dbc9b499998292b8,"['Collagen_IV_Unconjugated/0000-0003-4379-8967.md', 'Hoechst_33342_NA/0000-0003-4379-8967.md']"
F4_80_BV421/Mouse_Lymph_Node_F480_CD68_NK1.1.jpg,"Mouse lymph node: F4/80 (cyan, catalog number 123132), CD68 (blue, catalog number 137017) and NK1.1 (magenta, catalog number 108731)",7d7948c646e969eb12ded2cae1a498c8,"['F4_80_BV421/0000-0003-4379-8967.md', 'CD68_BV421/0000-0003-4379-8967.md']"
CD45_AF700/FL_FFPE_CD45_NBP2-34528AF700.jpg,"Human follicular lymphoma FFPE: CD45 (magenta, catalog number NBP2-34528AF700)",6964c0fe6d6ad3ee63cf152f0136dd15,['CD45_AF700/0000-0003-4379-8967.md']
Tubulin_beta-3_chain_AF532/Mouse_Lung_Btub3_CD68_CD44.jpg,"Mouse lung: Beta-tubulin 3 (yellow, based on catalog number 657402), CD68 (cyan, catalog number 137017), and CD44 (magenta, catalog number 103018)",db66fa7a083eec407208f0afd71eb446,"['Tubulin_beta-3_chain_AF532/0000-0003-4379-8967.md', 'CD68_BV421/0000-0003-4379-8967.md']"
Chx10_AF546/Chx10_AF546_Santa_Cruz_sc-365519.jpg,"Human retina: Chx10 (cyan, catalog number sc-365519) and Hoechst (blue, catalog number 40046)",723cd9f8501b124e88294f4c64e0e617,['Chx10_AF546/0000-0003-2088-8310.md']
Ki-67_AF660/Mouse_Brain_Tumor_Hochest_Blue_Iba_Cyan_Fuji_019_19741_mCherry_Red_Novus_NBP2_25158_Ki67_Magenta_Thermo_606_5698_82.jpg,"Mouse Brain Tumor Hochest (Blue) Iba (Cyan, Fuji #019-19741) mCherry (Red, Novus #NBP2-25158) Ki67 (Magenta Thermo #606-5698-82)",75e382cfb8d31c8b05942fbc4dde692d,['Ki-67_AF660/0000-0002-6944-6997.md']
LYVE1_AF532/Hoechst_LYVE1_RD_AF2089_Desmin_Abcam_Ab185033.jpg,"Human lymph node: LYVE-1 (yellow, catalog number AF2089), Desmin (cyan, catalog number ab185033), and Hoechst (blue, catalog number 40046)",3add3c64f6077ba926ba66219404c48c,"['LYVE1_AF532/0000-0003-4379-8967.md', 'Desmin_AF488/0000-0003-4379-8967.md']"
CD8_BV421/Mouse_Thymus_CD8_CD11c.jpg,"Mouse thymus: CD8 (blue, catalog number 100738) and CD11c (magenta, catalog number 117312)",ce74a516de147e9050ef6ee1b5b9280f,"['CD11c_AF647/0000-0003-4379-8967.md', 'CD8_BV421/0000-0003-4379-8967.md']"
CD8_BV421/Mouse_Lymph_Node_CD8_DEC205_CD169.jpg,"Mouse lymph node: CD8 (cyan, catalog number 100738), DEC205 (purple, catalog number 138204), and CD169 (yellow, catalog number 142404)",257284ec28984294cbd4c41c118fbc0e,"['CD8_BV421/0000-0003-4379-8967.md', 'DEC205_AF647/0000-0003-4379-8967.md']"
CD8_BV421/Mouse_Liver_CD8_CD44_NK1.1.jpg,"Mouse liver: CD8 (cyan, catalog number 100738), CD44 (blue, catalog number 103026), and NK1.1 (red, catalog number 108731)",68960d7a73c3e5d4dd969086af68a39f,"['CD8_BV421/0000-0003-1431-1398.md', 'CD44_AF700/0000-0003-1431-1398.md']"
CD15_Unconjugated/Spleen_CD15_BD_347420_IgM_AF488_JacksonIR_715-545-020_Vimentin_AF532_BioLegend_677802.jpeg,"Human spleen: CD15 (cyan, catalog number 347420 and 715-545-020) and Vimentin (red, based on catalog number 677802)",d15d58232135f5ab60d91d84df72d9b3,"['CD15_Unconjugated/0000-0003-4379-8967.md', 'Vimentin_AF532/0000-0003-4379-8967.md', 'Mouse_IgM_AF488/0000-0003-4379-8967.md']"
Calbindin_Unconjugated/Calbindin_Unconjugated_MilliporeSigma_ABN2192.jpg,"Human retina: Calbindin (magenta, catalog number ABN2192) and Hoechst (blue, catalog number 40046)",01c98cf90c8d0bb961a6fcb303e890f1,['Calbindin_Unconjugated/0000-0003-2088-8310.md']
Vimentin_AF532/Human_Spleen_CD4_Vimentin.jpg,"Human spleen: CD4 (cyan, catalog number 300520) and Vimentin (red, based on catalog number 677802)",576b4696254d09fdc5e4ee0891b3ade4,"['Vimentin_AF532/0000-0003-4379-8967.md', 'CD4_AF647/0000-0003-4379-8967.md']"
Glutamine_synthetase_AF488/FL_FFPE_GS_AF488_Ab302584.jpg,"Human follicular lymphoma FFPE: Glutamine synthetase (cyan, catalog number Ab302584)",32d5e6084a52b196160dbd71060d1b61,['Glutamine_synthetase_AF488/0000-0003-4379-8967.md']
Glutamine_Synthetase_AF647/FL_FFPE_GS_AF647_NBP2-70834AF647.jpg,"Human follicular lymphoma FFPE: Glutamine synthetase (magenta, catalog number NBP2-70834AF647)",96b6de298ddfcf334a52e12a74b2109a,['Glutamine_Synthetase_AF647/0000-0003-4379-8967.md']
BCL2_AF647/Human_LN_BCL2_CD3.jpg,"Human lymph node: BCL2 (cyan, catalog number 658705) and CD3 (purple, catalog number 300446)",dceeda335e75a9cf0cbd51247558212c,"['BCL2_AF647/0000-0003-4379-8967.md', 'CD3_AF594/0000-0003-4379-8967.md']"
DC-SIGN_AF647/DCSIGN_AF647_BioLegend_330112_Vimentin_AF532_BioLegend.jpg,"Human lymph node: DC-SIGN (magenta, catalog number 330112) and Vimentin (yellow, based on catalog number 677802)",20fc4d2546faca4fac0da629522b081f,"['Vimentin_AF532/0000-0003-4379-8967.md', 'DC-SIGN_AF647/0000-0003-4379-8967.md']"
CD21_AF532/Human_Spleen_CD21_CD54.jpg,"Human spleen: CD21 (red, based on catalog number 354902) and CD54 (blue, catalog number 353114)",4d7c6a878182471d8b57a86456de24c1,"['CD21_AF532/0000-0003-4379-8967.md', 'CD54_AF647/0000-0003-4379-8967.md']"
