UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
P16422,Primary Antibody,EpCAM,Human,Mouse,IgG2b,9C4,BioLegend,324210,AF488,AB_756084,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF488/Human_Jejunum_EpCAM_CD44.jpg;EpCAM_AF488/Human_Jejunum_EpCAM_CD49a.jpg,"Human jejunum: EpCAM (blue, catalog number 324210) and CD44 (yellow, catalog number 103016);Human jejunum: EpCAM (purple, catalog number 324210) and CD49a (cyan, catalog number 328310)",1fa33eef6e1d394e8c6d8249da061838;ea4e4c5fe3ff3354344370cb351db2ef
P19320,Primary Antibody,CD106,Human,Mouse,IgG1,STA,BioLegend,305806,PE,AB_314561,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Hoechst_33342_NA/Human_Jejunum_Hoechst_CD106_CD31.jpg,"Human jejunum: Hoechst (blue, catalog number 40046), CD106 (cyan, catalog number 305806), and CD31 (red, catalog number 303106)",5b1dce343fdc5ec7f5c4a5dda52aded5
P19320,Primary Antibody,CD106,Human,Mouse,IgG1,STA,BioLegend,305806,PE,AB_314561,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD23_AF532/Human_LN_CD23_CD106.jpg,"Human lymph node: CD23 (yellow, based on catalog number 338502) and CD106 (blue, catalog number 305806)",008f43d11a7056f946ce5f3672908f66
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,4H11,AAT Bioquest,103400C0,iF594,AB_2892741,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,4H11,AAT Bioquest,103400C0,iF594,AB_2892741,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,4H11,AAT Bioquest,103400C0,iF594,AB_2892741,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,4H11,AAT Bioquest,103400C0,iF594,AB_2892741,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P05362,Primary Antibody,CD54,Human,Mouse,IgG1,HA58,BioLegend,353114,AF647,AB_2715942,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD54_AF647/Human_Jejunum_Hoechst_CD54_Vimentin.jpg,"Human jejunum: Hoechst (blue, catalog number 40046), CD54 (green, catalog number 353114), and Vimentin (magenta, catalog number 677807)",48f2b7e03aabbc449c1854fc48748331
P05362,Primary Antibody,CD54,Human,Mouse,IgG1,HA58,BioLegend,353114,AF647,AB_2715942,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD54_AF647/Human_Liver_CD54_CD138.jpg,"Human liver: CD54 (cyan, catalog number 353114) and CD138 (purple, catalog number 356504)",e5190893aabff3c6ed042603d5c55d32
P05362,Primary Antibody,CD54,Human,Mouse,IgG1,HA58,BioLegend,353114,AF647,AB_2715942,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
